,round_epochs,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy,lr,activation,architecture,batch_size,dropout,epochs,last_activation,optimizer
7,29,0.047769321858882906,0.9819999933242798,0.2105001715819041,0.9424999952316284,1.0000000656873453e-05,relu,"[3, 128]",256,0.25,300,softmax,"(<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>, {'lr': 0.001})"
8,31,0.0633148462176323,0.9769583344459534,0.20249634019533794,0.9423333406448364,1.0000000656873453e-05,relu,"[3, 128]",256,0.3,300,softmax,"(<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>, {'lr': 0.001})"
6,31,0.0226504138695697,0.9921875,0.2443281669219335,0.940833330154419,1.0000000656873453e-05,relu,"[3, 128]",256,0.2,300,softmax,"(<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>, {'lr': 0.001})"
5,39,0.11370993427435556,0.9570000171661377,0.1807668205499649,0.940583348274231,1.0000001111620804e-06,relu,"[3, 64]",256,0.3,300,softmax,"(<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>, {'lr': 0.001})"
3,28,0.08716630935668945,0.9680833220481873,0.18814145386219025,0.9388333559036255,1.0000000656873453e-05,relu,"[3, 64]",256,0.2,300,softmax,"(<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>, {'lr': 0.001})"
4,32,0.10441461259126664,0.9615208506584167,0.18877865747610728,0.937666654586792,1.0000000656873453e-05,relu,"[3, 64]",256,0.25,300,softmax,"(<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>, {'lr': 0.001})"
0,42,0.1040233447154363,0.9610416889190674,0.19347048437595368,0.937250018119812,1.0000000656873453e-05,relu,"[3, 32]",256,0.2,300,softmax,"(<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>, {'lr': 0.001})"
2,38,0.16955173861980438,0.9381041526794434,0.18443871621290842,0.9355833530426025,1.0000000656873453e-05,relu,"[3, 32]",256,0.3,300,softmax,"(<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>, {'lr': 0.001})"
1,40,0.17172319388389587,0.9365416765213013,0.1931875543196996,0.9314166903495789,1.0000001111620804e-06,relu,"[3, 32]",256,0.25,300,softmax,"(<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>, {'lr': 0.001})"
