,round_epochs,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy,lr,activation,architecture,batch_size,dropout,epochs,last_activation,optimizer
6,48,0.11157705950737,0.9601041674613953,0.28969647550582883,0.909500002861023,0.00010000000474974513,relu,[768],384,0.3,300,softmax,"(<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>, {'lr': 0.001})"
0,47,0.12588151169816653,0.953083336353302,0.2895209781726201,0.9084166884422302,1.0000000656873453e-05,relu,[768],128,0.3,300,softmax,"(<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>, {'lr': 0.001})"
3,52,0.119990331808726,0.9573958516120911,0.28233716054757435,0.9083333611488342,1.0000000656873453e-05,relu,[768],256,0.3,300,softmax,"(<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>, {'lr': 0.001})"
2,96,0.14551450051863987,0.9512083530426025,0.2772663274208705,0.9055833220481873,9.99999883788405e-06,relu,[768],128,0.3,300,softmax,"(<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>, {'lr': 0.01, 'momentum': 0.9, 'nesterov': True})"
5,122,0.12224448478221893,0.960604190826416,0.27818484195073445,0.9053333401679993,9.99999901978299e-05,relu,[768],256,0.3,300,softmax,"(<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>, {'lr': 0.01, 'momentum': 0.9, 'nesterov': True})"
1,86,0.11738308104872704,0.960604190826416,0.28010984273751577,0.9045000076293945,9.99999901978299e-05,relu,[768],128,0.3,300,softmax,"(<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>, {'lr': 0.01, 'momentum': 0.9, 'nesterov': False})"
7,157,0.14862708950042725,0.9514999985694885,0.2791747599840164,0.9027500152587891,9.99999901978299e-05,relu,[768],384,0.3,300,softmax,"(<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>, {'lr': 0.01, 'momentum': 0.9, 'nesterov': False})"
4,121,0.15410026148955028,0.9472916722297668,0.2803396646976471,0.9025833606719971,9.99999901978299e-05,relu,[768],256,0.3,300,softmax,"(<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>, {'lr': 0.01, 'momentum': 0.9, 'nesterov': False})"
8,169,0.14539935940504073,0.9526666402816772,0.2782509335279465,0.9022499918937683,9.99999883788405e-06,relu,[768],384,0.3,300,softmax,"(<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>, {'lr': 0.01, 'momentum': 0.9, 'nesterov': True})"
